OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,Decay_type,Fruitbody_type
OTU1155,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,Panaeolina,Panaeolina foenisecii,,soil_saprotroph,,,,,soil,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU1156,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Meliniomyces,,,root_endophyte,soil_saprotroph,ectomycorrhizal_M._bicolor/ericoid_mycorrhizal_M._variabilis,root_endophyte,,soil,,non-aquatic,,,filamentous_mycelium,,none,short-distance_delicate,/meliniomyces,,,,
OTU1157,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,,,animal_parasite,animal_decomposer,,,,animal_material,,partly_aquatic,animal_parasite,,filamentous_mycelium,,,,,,,,
OTU1158,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,,,,,,,,,,,,,,,,,,,,,,
OTU1159,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,,,,,,,,,,,,,,,,,,,,
OTU1162,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia procaviae,,dung_saprotroph,,,,,dung,,partly_aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU1163,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,,,,,,,,,,,,,,,,,,,,
OTU1164,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,,,soil_saprotroph,root_endophyte_dark_septate,"mycoparasite_some_species,animal_pathogen_some_species",root_endophyte_dark_septate,,soil,,non-aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,
OTU1165,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,,,,,,,,,,,,,,,,,,,,
OTU1167,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,,,,,,,,,,,,,,,,,,,,,,
OTU1168,Fungi,Basidiomycota,Microbotryomycetes,,,,,,,,,,,,,,,,,,,,,,,,
OTU1169,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Pithoascus,Pithoascus nidicola,,soil_saprotroph,litter_saprotroph,,,leaf/fruit/seed_pathogen,"leaf/fruit/seed,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none
OTU1170,Fungi,,,,,,,,,,,,,,,,,,,,,,,,,,
