OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,Decay_type,Fruitbody_type
OTU1,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Antarctomyces,Antarctomyces pellizariae,,soil_saprotroph,,,,,soil,,partly_marine_(partly_non-aquatic),,,filamentous_mycelium,other,,,,,,,other
OTU2,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,,,,,,,,,,,,,,,,,,,,,,
OTU3,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Thelebolus,,,dung_saprotroph,foliar_endophyte,litter_saprotroph_some_species,foliar_endophyte,,"leaf/fruit/seed,dung",,partly_aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU4,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,,,,,,,,,,,,,,,,,,,,,,
OTU5,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus radians,,soil_saprotroph,,,,,soil,,partly_aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU6,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,,,unspecified_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,leaf/fruit/seed_pathogen,"leaf/fruit/seed,soil,dung,animal_material",,non-aquatic,animal_parasite,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU7,Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,Podospora,Podospora fibrinocaudata,,dung_saprotroph,foliar_endophyte,litter_saprotroph_some_species,foliar_endophyte,,"leaf/fruit/seed,dung",,partly_freshwater_(partly_non-aquatic),,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU8,Fungi,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Hasegawaea,Hasegawaea japonica,,,,,,,,,,,,,,,,,,,,
OTU9,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,,,unspecified_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,leaf/fruit/seed_pathogen,"leaf/fruit/seed,soil,dung,animal_material",,non-aquatic,animal_parasite,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU10,Fungi,Basidiomycota,Agaricomycetes,Boletales,Melanogastraceae,Melanogaster,Melanogaster macrocarpus CA01,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/paxillus-gyrodon,,,,gasteroid-hypogeous
OTU11,Fungi,Basidiomycota,Tremellomycetes,,,,,,,,,,,,,,,,,,,,,,,,
OTU12,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,,,unspecified_saprotroph,foliar_endophyte,"toxin-producing,animal_parasite_some_species,mycoparasite_some_species",foliar_endophyte,,soil,mold,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,,,,,,,mold,
OTU13,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,,,,,,,,,,,,,,,,,,,,,,
OTU14,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,,,soil_saprotroph,,,,,soil,,partly_aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU15,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,,,litter_saprotroph,dung_saprotroph,,,,"leaf/fruit/seed,dung",,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface)
OTU16,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,,,soil_saprotroph,,,,,soil,,partly_aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU17,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,,,dung_saprotroph,,,,,dung,,partly_aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU18,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,Xerocomellus behrii,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,poroid,long-distance,/boletus,,,,agaricoid
OTU19,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis neophlyctidospora,,soil_saprotroph,,,,,soil,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU20,Fungi,Ascomycota,,,,,,,,,,,,,,,,,,,,,,,,,
OTU21,Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,Paxillus ammoniavirescens,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,long-distance,/paxillus-gyrodon,,,,agaricoid
OTU22,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,,,litter_saprotroph,,ectomycorrhizal_many_species,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/cantharellus,,,,corticioid
OTU23,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia randhawae,,unspecified_saprotroph,,extremophile,,,,,partly_aquatic,,,yeast,none,none,,,,,,none
OTU24,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia bipartis,,dung_saprotroph,,,,,dung,,partly_aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU25,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Pestalotiopsidaceae,Neopestalotiopsis,,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU26,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,Tuber candidum,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,short-distance_delicate,/tuber-helvella,,,,gasteroid-hypogeous
OTU27,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,,,mycoparasite,foliar_endophyte,hypervariable,foliar_endophyte,leaf/fruit/seed_pathogen,"leaf/fruit/seed,soil,fungal_material",soft_rot,,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,soft_rot,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU28,Fungi,Basidiomycota,Agaricomycetes,Boletales,Pisolithaceae,Pisolithus,Pisolithus arhizus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid,closed,long-distance,/pisolithus-scleroderma,,,,gasteroid
OTU29,Fungi,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU30,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella bipellis,,wood_saprotroph,litter_saprotroph,,,,"wood,leaf/fruit/seed",,partly_aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU31,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus piperis,,unspecified_saprotroph,foliar_endophyte,"hypervariable,_saprotroph_animal_pathogen_endophyte",foliar_endophyte,,"leaf/fruit/seed,soil,dung,animal_material",mold,partly_aquatic,animal_parasite/opportunistic_human_parasite,,filamentous_mycelium,,,,,,,mold,
OTU32,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Apodus,Apodus deciduus,,dung_saprotroph,,,,,dung,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU33,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus brunneidiscus,,litter_saprotroph,,wood_saprotroph_many_species,,,leaf/fruit/seed,white_rot,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,white_rot,agaricoid
OTU34,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,,,,,,,,,,,,,,,,,,,,,,
OTU35,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,,,,,,,,,,,,,,,,,,,,,,
OTU36,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormiella,,,litter_saprotroph,,,,,leaf/fruit/seed,,partly_aquatic,,,filamentous_mycelium,,,,,,,,
OTU37,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paracamarosporium,,,wood_saprotroph,,,no_endophytic_capacity,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU38,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,,,,,,,,,,,,,,,,,,,,
OTU40,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,,,,,,,,,,,,,,,,,,,,,,
OTU41,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula sp. CA10,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/russula-lactarius,,,,agaricoid
OTU42,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella hymenocephala,,wood_saprotroph,litter_saprotroph,,,,"wood,leaf/fruit/seed",,partly_aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU43,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Pithoascus,Pithoascus ater,,soil_saprotroph,litter_saprotroph,,,leaf/fruit/seed_pathogen,"leaf/fruit/seed,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none
OTU44,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Gamsia,Gamsia aggregata,,soil_saprotroph,,,,,soil,,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none
OTU45,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,,,litter_saprotroph,,ectomycorrhizal_many_species,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/cantharellus,,,,corticioid
OTU46,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza ellipsospora,,ectomycorrhizal,foliar_endophyte,ectomycorrhizal_many_species_in_several_lineages,foliar_endophyte,,soil,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,smooth,,,,,,gasteroid-hypogeous
OTU47,Fungi,Ascomycota,Dothideomycetes,,,,,,,,,,,,,,,,,,,,,,,,
OTU48,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,,,unspecified_saprotroph,foliar_endophyte,"toxin-producing,animal_parasite_some_species,mycoparasite_some_species",foliar_endophyte,,soil,mold,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,,,,,,,mold,
OTU50,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ruber,,unspecified_saprotroph,foliar_endophyte,"hypervariable,_saprotroph_animal_pathogen_endophyte",foliar_endophyte,,"leaf/fruit/seed,soil,dung,animal_material",mold,partly_aquatic,animal_parasite/opportunistic_human_parasite,,filamentous_mycelium,,,,,,,mold,
OTU51,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,,,sooty_mold,litter_saprotroph,hyperviariable,foliar_endophyte,leaf/fruit/seed_pathogen,"leaf/fruit/seed,roots,animal_material,sugar-rich_substrates",,partly_aquatic,animal_parasite,,dimorphic_yeast,,,,,,,,
OTU52,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus campestris,,unspecified_saprotroph,foliar_endophyte,"hypervariable,_saprotroph_animal_pathogen_endophyte",foliar_endophyte,,"leaf/fruit/seed,soil,dung,animal_material",mold,partly_aquatic,animal_parasite/opportunistic_human_parasite,,filamentous_mycelium,,,,,,,mold,
OTU53,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Zopfiella,Zopfiella pleuropora,,dung_saprotroph,,,,,dung,,partly_aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU54,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascodesmidaceae,Lasiobolus,Lasiobolus papillatus,,dung_saprotroph,,,,,dung,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface)
OTU55,Fungi,Ascomycota,Dothideomycetes,Phaeotrichales,Phaeotrichaceae,Phaeotrichum,Phaeotrichum benjaminii,,unspecified_saprotroph,,dung_saprotroph_some_species,,,,,non-aquatic,,,filamentous_mycelium,cleistothecium,closed,,,,,,cleistothecium
OTU56,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Cephalotrichum,,,soil_saprotroph,,,,,soil,,partly_aquatic,,,filamentous_mycelium,none,none,,,,,,none
OTU57,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,Peziza arvernensis,,soil_saprotroph,foliar_endophyte,ectomycorrhizal_many_species_in_several_lineages,foliar_endophyte,,soil,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface)
OTU58,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Inopinatum,Inopinatum lactosum,,,,,,,,,,,,,,,,,,,,
OTU59,Fungi,Basidiomycota,Microbotryomycetes,,,Curvibasidium,Curvibasidium cygneicollum,,wood_saprotroph,litter_saprotroph,"hypervariable,_saprotroph_and_epiphyte",,,"wood,leaf/fruit/seed,soil",,non-aquatic,,,dimorphic_yeast,none,none,,,,,,none
OTU60,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces bayanus,,nectar/tap_saprotroph,,,,,sugar-rich_substrates,,partly_aquatic,arthropod-associated,,yeast,none,none,,,,,,none
OTU61,Fungi,Ascomycota,Sordariomycetes,,,,,,,,,,,,,,,,,,,,,,,,
OTU62,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Rhinocladiella,,,soil_saprotroph,animal_parasite,,root_endophyte_dark_septate,root-associated,"soil,animal_material",,partly_freshwater_(partly_non-aquatic),animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,
OTU63,Fungi,Ascomycota,,,,,,,,,,,,,,,,,,,,,,,,,
OTU64,Fungi,Ascomycota,Leotiomycetes,Helotiales,Pleuroascaceae,Pleuroascus,,,dung_saprotroph,,,,,dung,,non-aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU65,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,,,plant_pathogen,litter_saprotroph,,foliar_endophyte,leaf/fruit/seed_pathogen,leaf/fruit/seed,soft_rot,partly_aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,soft_rot,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU66,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Botryotrichum,Botryotrichum domesticum,,unspecified_saprotroph,,litter_saprotroph_some_species,,,,,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none
OTU67,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,,,,,,,,,,,,,,,,,,,,,,
OTU68,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,,,unspecified_saprotroph,,extremophile,,,,,partly_aquatic,,,yeast,none,none,,,,,,none
OTU69,Fungi,Ascomycota,,,,,,,,,,,,,,,,,,,,,,,,,
OTU70,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,,Starmerella,Starmerella stellata,,nectar/tap_saprotroph,,,,,sugar-rich_substrates,,non-aquatic,arthropod-associated,,yeast,none,none,,,,,,none
OTU71,Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,Podospora,Podospora curvula,,dung_saprotroph,foliar_endophyte,litter_saprotroph_some_species,foliar_endophyte,,"leaf/fruit/seed,dung",,partly_freshwater_(partly_non-aquatic),,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU72,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,,,soil_saprotroph,,,,,soil,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU73,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Deconica,Deconica montana,,litter_saprotroph,,dung_saprotroph_some_species,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU74,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus arxii,,unspecified_saprotroph,foliar_endophyte,"hypervariable,_saprotroph_animal_pathogen_endophyte",foliar_endophyte,,"leaf/fruit/seed,soil,dung,animal_material",mold,partly_aquatic,animal_parasite/opportunistic_human_parasite,,filamentous_mycelium,,,,,,,mold,
OTU75,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,,,dung_saprotroph,,,,,dung,,partly_aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU76,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,,,litter_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,,"wood,leaf/fruit/seed,soil,dung",soft_rot,partly_aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,soft_rot,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU77,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,,,plant_pathogen,litter_saprotroph,,foliar_endophyte,leaf/fruit/seed_pathogen,leaf/fruit/seed,soft_rot,partly_aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,soft_rot,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU78,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea thermotolerans,,nectar/tap_saprotroph,animal_parasite,,,,"animal_material,sugar-rich_substrates",,non-aquatic,animal_endosymbiont,,yeast,none,none,,,,,,none
OTU80,Fungi,Ascomycota,Pezizomycetes,Pezizales,,,,,,,,,,,,,,,,,,,,,,,
OTU81,Fungi,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU82,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita constricta,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/amanita,,,,agaricoid
OTU83,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Lepista,,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU85,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Connersia,,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none
OTU86,Fungi,Ascomycota,Leotiomycetes,Helotiales,,Roesleria,Roesleria subterranea,,plant_pathogen,unsepcified_saprotroph,,,root_pathogen,roots,,non-aquatic,,,filamentous_mycelium,mazaedium_(pushpin-like),other,,,,,,mazaedium_(pushpin-like)
OTU87,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon,,,animal_parasite,animal_decomposer,,,,animal_material,,partly_aquatic,animal_parasite/opportunistic_human_parasite,,yeast,none,none,,,,,,none
OTU88,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,,,,,,,,,,,,,,,,,,,,,,
OTU89,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma pararogersonii,,mycoparasite,foliar_endophyte,hypervariable,foliar_endophyte,leaf/fruit/seed_pathogen,"leaf/fruit/seed,soil,fungal_material",soft_rot,,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,soft_rot,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU90,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Fonsecazyma,Fonsecazyma tronadorensis,,unspecified_saprotroph,,,,,,,non-aquatic,,,yeast,,,,,,,,
OTU91,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodosporidiobolus,Rhodosporidiobolus colostri,,unspecified_saprotroph,,,,,,,partly_aquatic,,,yeast,none,none,,,,,,none
OTU92,Fungi,Basidiomycota,Agaricomycetes,,,,,,,,,,,,,,,,,,,,,,,,
OTU93,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,,,soil_saprotroph,root_endophyte_dark_septate,"mycoparasite_some_species,animal_pathogen_some_species",root_endophyte_dark_septate,,soil,,non-aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,
OTU94,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormiella,Sporormiella irregularis,,litter_saprotroph,,,,,leaf/fruit/seed,,partly_aquatic,,,filamentous_mycelium,,,,,,,,
OTU95,Fungi,Basidiomycota,Cystobasidiomycetes,,,,,,,,,,,,,,,,,,,,,,,,
OTU96,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Cazia,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,short-distance_coarse,/terfezia-peziza_depressa,,,,gasteroid-hypogeous
OTU97,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,,,soil_saprotroph,,,,,soil,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU98,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,,,plant_pathogen,litter_saprotroph,hypervariable,foliar_endophyte,leaf/fruit/seed_pathogen,"leaf/fruit/seed,roots,soil",soft_rot,partly_aquatic,,,filamentous_mycelium,,,,,,,soft_rot,
OTU99,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis xenobia,,soil_saprotroph,,,,,soil,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU100,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella histoplasmatoides,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none
OTU101,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pseudaleuria,,,soil_saprotroph,,,,,soil,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface)
OTU102,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma terrea,,soil_saprotroph,epiphyte,,,,soil,,partly_aquatic,,,yeast,none,none,,,,,,none
OTU103,Fungi,Ascomycota,Dothideomycetes,Myriangiales,,,,,,,,,,,,,,,,,,,,,,,
OTU104,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,,Sertulicium,Sertulicium lateclavigerum,,,,,,,,,,,,,,,,,,,,
OTU105,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Pringsheimia,,,wood_saprotroph,,,no_endophytic_capacity,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU106,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Enterocarpus,Enterocarpus grenotii,,dung_saprotroph,animal_decomposer,,,,"dung,animal_material",,non-aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU107,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,Tremella umbilicariae,,mycoparasite,,lichen_parasite_some_species,,,fungal_material,,non-aquatic,,,dimorphic_yeast,,,,,,,,
OTU108,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Zopfiella,Zopfiella tardifaciens,,dung_saprotroph,,,,,dung,,partly_aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)"
OTU109,Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,,,,,,,,,,,,,,,,,,,,,,
OTU110,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta polymorpha,,unspecified_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,leaf/fruit/seed_pathogen,"leaf/fruit/seed,soil,dung,animal_material",,non-aquatic,animal_parasite,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU111,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella praetenuis,,wood_saprotroph,litter_saprotroph,,,,"wood,leaf/fruit/seed",,partly_aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid
OTU113,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Kernia,Kernia hippocrepida,,dung_saprotroph,,,,,dung,,non-aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)"
OTU114,Fungi,Basidiomycota,Tremellomycetes,,,,,,,,,,,,,,,,,,,,,,,,
